
NS1 EW24,Jurong East,Red,North South
NS2,Bukit Batok,Red,North South
NS3,Bukit Gombak,Red,North South
NS4 BP1,Choa Chu Kang,Red,North South
NS5,Yew Tee,Red,North South
NS7,Kranji,Red,North South
NS8,Marsiling,Red,North South
NS9 TE2,Woodlands,Red,North South
NS10,Admiralty,Red,North South
NS11,Sembawang,Red,North South
NS12,Canberra,Red,North South
NS13,Yishun,Red,North South
NS14,Khatib,Red,North South
NS15,Yio Chu Kang,Red,North South
NS16,Ang Mo Kio,Red,North South
NS17 CC15,Bishan,Red,North South
NS18,Braddell,Red,North South
NS19,Toa Payoh,Red,North South
NS20,Novena,Red,North South
NS21 DT11,Newton,Red,North South
NS22 TE14,Orchard,Red,North South
NS23,Somerset,Red,North South
NS24 NE6 CC1,Dhoby Ghaut,Red,North South
NS25 EW13,City Hall,Red,North South
NS26 EW14,Raffles Place,Red,North South
NS28,Marina South Pier,Red,North South
EW1,Pasir Ris,Green,East West
EW3,Simei,Green,East West
EW4 CG,Tanah Merah,Green,East West
EW5,Bedok,Green,East West
EW6,Kembangan,Green,East West
EW7,Eunos,Green,East West
EW8 CC9,Paya Lebar,Green,East West
EW9,Aljunied,Green,East West
EW10,Kallang,Green,East West
EW11,Lavender,Green,East West
EW15,Tanjong Pagar,Green,East West
EW16 NE3 TE17,Outram Park,Green,East West
EW17,Tiong Bahru,Green,East West
EW18,Redhill,Green,East West
EW19,Queenstown,Green,East West
EW20,Commonwealth,Green,East West
EW21 CC22,Buona Vista,Green,East West
EW22,Dover,Green,East West
EW23,Clementi,Green,East West
EW25,Chinese Garden,Green,East West
EW26,Lakeside,Green,East West
EW27,Boon Lay,Green,East West
EW28,Pioneer,Green,East West
EW29,Joo Koon,Green,East West
EW30,Gul Circle,Green,East West
EW31,Tuas Crescent,Green,East West
EW32,Tuas West Road,Green,East West
EW33,Tuas Link,Green,East West
CG1 DT35,Expo,Green,Changi Airport Branch
CG2,Changi Airport,Green,Changi Airport Branch
NE1 CC29,HarbourFront,Purple,North East
NE5,Clarke Quay,Purple,North East
NE8,Farrer Park,Purple,North East
NE9,Boon Keng,Purple,North East
NE10,Potong Pasir,Purple,North East
NE11,Woodleigh,Purple,North East
NE13,Kovan,Purple,North East
NE14,Hougang,Purple,North East
NE15,Buangkok,Purple,North East
NE16 STC,Sengkang,Purple,North East
NE17 PTC,Punggol,Purple,North East
CC2,Bras Basah,Orange,Circle
CC3,Esplanade,Orange,Circle
CC4 DT15,Promenade,Orange,Circle
CC5,Nicoll Highway,Orange,Circle
CC6,Stadium,Orange,Circle
CC7,Mountbatten,Orange,Circle
CC8,Dakota,Orange,Circle
CC10 DT26,MacPherson,Orange,Circle
CC11,Tai Seng,Orange,Circle
CC12,Bartley,Orange,Circle
CC13 NE12,Serangoon,Orange,Circle
CC14,Lorong Chuan,Orange,Circle
CC16,Marymount,Orange,Circle
CC17 TE9,Caldecott,Orange,Circle
CC20,Farrer Road,Orange,Circle
CC21,Holland Village,Orange,Circle
CC23,one-north,Orange,Circle
CC24,Kent Ridge,Orange,Circle
CC25,Haw Par Villa,Orange,Circle
CC26,Pasir Panjang,Orange,Circle
CC27,Labrador Park,Orange,Circle
CC28,Telok Blangah,Orange,Circle
CE1 DT16,Bayfront,Orange,Circle Extension
CE2 NS27 TE20,Marina Bay,Orange,Circle Extension
DT1 BP6,Bukit Panjang,Blue,Downtown
DT2,Cashew,Blue,Downtown
DT3,Hillview,Blue,Downtown
DT5,Beauty World,Blue,Downtown
DT6,King Albert Park,Blue,Downtown
DT7,Sixth Avenue,Blue,Downtown
DT8,Tan Kah Kee,Blue,Downtown
DT9 CC19,Botanic Gardens,Blue,Downtown
DT10 TE11,Stevens,Blue,Downtown
DT12 NE7,Little India,Blue,Downtown
DT13,Rochor,Blue,Downtown
DT14 EW12,Bugis,Blue,Downtown
DT17,Downtown,Blue,Downtown
DT18,Telok Ayer,Blue,Downtown
DT19 NE4,Chinatown,Blue,Downtown
DT20,Fort Canning,Blue,Downtown
DT21,Bencoolen,Blue,Downtown
DT22,Jalan Besar,Blue,Downtown
DT23,Bendemeer,Blue,Downtown
DT24,Geylang Bahru,Blue,Downtown
DT25,Mattar,Blue,Downtown
DT27,Ubi,Blue,Downtown
DT28,Kaki Bukit,Blue,Downtown
DT29,Bedok North,Blue,Downtown
